"TIN","PRACID","year"
"0045","0145",2013
"0021","0121",2013
"0034","0134",2013
"0046","0146",2013
"0039","0139",2013
"0005","0105",2013
"0004","0104",2013
"0047","0147",2013
"0002","0102",2013
"0025","0125",2013
"0031","0131",2013
"0008","0108",2013
"0033","0133",2013
"0040","0140",2013
"0041","0141",2013
"0043","0143",2013
"0015","0115",2013
"0049","0149",2013
"0050","0150",2013
"0016","0116",2013
"0024","0124",2013
"0022","0122",2013
"0028","0128",2013
"0026","0126",2013
"0027","0127",2013
"0035","0135",2013
"0018","0118",2013
"0030","0130",2013
"0023","0123",2013
"0017","0117",2013
"0038","0138",2013
"0006","0106",2013
"0042","0142",2013
"0019","0119",2013
"0011","0111",2013
"0003","0103",2013
"0012","0112",2013
"0009","0109",2013
"0014","0114",2013
"0010","0110",2013
"0048","0148",2013
"0013","0113",2013
"0020","0120",2013
"0029","0129",2013
"0032","0132",2013
"0036","0136",2013
"0044","0144",2013
"0007","0107",2013
"0037","0137",2013
"0001","0101",2013
"0042","0142",2014
"0005","0105",2014
"0002","0102",2014
"0048","0148",2014
"0011","0111",2014
"0044","0144",2014
"0021","0121",2014
"0041","0141",2014
"0039","0139",2014
"0047","0147",2014
"0036","0136",2014
"0007","0107",2014
"0034","0134",2014
"0017","0117",2014
"0023","0123",2014
"0028","0128",2014
"0009","0109",2014
"0050","0150",2014
"0024","0124",2014
"0010","0110",2014
"0012","0112",2014
"0032","0132",2014
"0049","0149",2014
"0033","0133",2014
"0025","0125",2014
"0043","0143",2014
"0014","0114",2014
"0013","0113",2014
"0019","0119",2014
"0003","0103",2014
"0035","0135",2014
"0040","0140",2014
"0027","0127",2014
"0020","0120",2014
"0029","0129",2014
"0022","0122",2014
"0018","0118",2014
"0030","0130",2014
"0004","0104",2014
"0008","0108",2014
"0038","0138",2014
"0031","0131",2014
"0015","0115",2014
"0037","0137",2014
"0006","0106",2014
"0016","0116",2014
"0001","0101",2014
"0045","0145",2014
"0046","0146",2014
"0026","0126",2014
"0045","0145",2015
"0032","0132",2015
"0038","0138",2015
"0016","0116",2015
"0043","0143",2015
"0025","0125",2015
"0033","0133",2015
"0047","0147",2015
"0029","0129",2015
"0042","0142",2015
"0021","0121",2015
"0026","0126",2015
"0008","0108",2015
"0004","0104",2015
"0014","0114",2015
"0019","0119",2015
"0041","0141",2015
"0005","0105",2015
"0028","0128",2015
"0048","0148",2015
"0013","0113",2015
"0023","0123",2015
"0018","0118",2015
"0009","0109",2015
"0006","0106",2015
"0024","0124",2015
"0040","0140",2015
"0034","0134",2015
"0044","0144",2015
"0031","0131",2015
"0010","0110",2015
"0049","0149",2015
"0039","0139",2015
"0030","0130",2015
"0012","0112",2015
"0020","0120",2015
"0015","0115",2015
"0036","0136",2015
"0007","0107",2015
"0001","0101",2015
"0003","0103",2015
"0035","0135",2015
"0050","0150",2015
"0017","0117",2015
"0046","0146",2015
"0022","0122",2015
"0002","0102",2015
"0027","0127",2015
"0011","0111",2015
"0037","0137",2015
